---,HeroID,DisplayName,Nickname,Rank,StarType,Vitality,Strength,Dexterity,Intelligence,Morale,PrimaryAptitude,SecondaryAptitude,DefaultLoyalty,HeroTrait,DefaultEquipment,Fame,PortraitPath,Biography
ZhongShidao,ZhongShidao,種師道,老種經略相公,119,FACTION_Court,78,80,72,90,95,Warrior,Scholar,95.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,西北名將，名震西陲。愛惜人才，曾任魯達頂頭上司，鎮守延安府抗擊西夏與金兵。
SuYuanjing,SuYuanjing,宿元景,宿太尉,120,FACTION_Court,65,40,50,88,95,Scholar,None,95.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,朝中正派忠臣，官拜殿前太尉。同情梁山泊好漢之忠義，多次在徽宗面前力薦招安，並親自前往水泊宣讀御詔。
WenHuanzhang,WenHuanzhang,聞煥章,安民先生,121,FACTION_Court,60,40,55,96,85,Scholar,Taoist,88.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,東京著名隱士與經世大儒，深通孫吳兵法與經國大略。高俅征梁山時奉詔入幕為軍師，明察秋毫，多次洞悉梁山戰略。
WangHuan,WangHuan,王煥,河南河北節度使,122,FACTION_Court,84,88,85,72,85,Warrior,None,85.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,朝廷十節度使之首，使一條丈八點鋼槍，槍法精湛。隨高俅征討梁山，曾與八十萬禁軍教頭林沖大戰八十餘合不分勝負。
XuJing,XuJing,徐京,江夏零陵節度使,123,FACTION_Court,82,86,80,70,82,Warrior,None,85.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,十節度使之一，使一口開山大斧，弓馬嫻熟，武藝過人。
WangWende,WangWende,王文德,清溪雲中節度使,124,FACTION_Court,80,84,82,68,80,Warrior,None,85.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,十節度使之一，使一柄渾鐵點鋼槍，曾於陣前與美髯公朱仝大戰三十餘合。
MeiZhan,MeiZhan,梅展,潁州汝南節度使,125,FACTION_Court,82,85,80,68,80,Warrior,None,85.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,十節度使之一，善使三尖兩刃刀，驍勇善戰。
ZhangKai,ZhangKai,張開,中山節度使,126,FACTION_Court,82,85,92,70,80,Hunter,Warrior,80.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,十節度使之一，精熟弓馬，神箭無雙，曾於萬軍之中百步穿楊射退梁山追兵。
YangWen,YangWen,楊溫,東平路節度使,127,FACTION_Court,82,85,80,70,82,Warrior,None,85.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,十節度使之一，楊家將族裔，善使長槍，治軍嚴明。
HanCunbao,HanCunbao,韓存保,雲中雁門節度使,128,FACTION_Court,85,90,88,68,85,Warrior,Hunter,85.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,十節度使之一，太師韓忠彥姪兒。手使方天畫戟，武藝超凡，曾與雙鞭呼延灼於水中馬背惡鬥百餘回合，難解難分。
LiCongji,LiCongji,李從吉,隴西漢陽節度使,129,FACTION_Court,80,82,80,68,80,Warrior,None,85.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,十節度使之一，名將之後，使金蘸大斧，驍勇果決。
XiangYuanzhen,XiangYuanzhen,項元鎮,瑯琊彭城節度使,130,FACTION_Court,80,82,90,70,80,Hunter,Warrior,82.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,十節度使之一，神箭名將，曾箭射雙槍將董平左臂。
JingZhong,JingZhong,荊忠,密州琅琊節度使,131,FACTION_Court,78,80,75,62,75,Warrior,None,80.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,十節度使之一，使一柄方天畫戟，隨高俅出征梁山。
QiuYue,QiuYue,丘岳,左八都督,132,FACTION_Court,82,86,80,62,75,Warrior,None,80.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,東京殿帥府左八箇都監之一，使三尖兩刃刀，號稱禁軍頂尖名將。隨高俅征梁山，後中伏死於錦八爺張清飛石之下。
ZhouAng,ZhouAng,周昂,右八都督,133,FACTION_Court,84,88,82,65,80,Warrior,None,80.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,殿帥府右八箇都監之首，使車輪大斧，勇力過人。於高俅兵敗時奮勇斷後，力拒梁山諸將圍攻。
LiuMenglong,LiuMenglong,劉夢龍,水軍都統制,134,FACTION_Court,75,72,82,65,75,Boatman,Warrior,80.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,朝廷水軍都統制，統領戰船數百艘進剿梁山泊水寨，反被混江龍李俊等設伏全殲。
ZhaoJi,ZhaoJi,趙佶,宋徽宗,135,FACTION_Court,60,30,92,85,75,Entertainer,Scholar,100.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,大宋天子，文采風流，工書擅畫，創瘦金體。重用蔡京、高俅等奸相，終致靖康之禍。
ShiWengong,ShiWengong,史文恭,曾頭市都教師,136,FACTION_Zengtou,95,98,95,80,90,Warrior,Hunter,85.0,None,Item_Halberd,100,/Game/UI/Portraits/Portrait_LinChong.jpg,曾頭市教頭，弓馬騎射天下無雙，善使方天畫戟與毒箭。曾於夜戰中以藥箭射殺梁山第二代魁首晁蓋，二十合刺傷秦明。
SuDing,SuDing,蘇定,曾頭市副教師,137,FACTION_Zengtou,84,85,82,76,80,Warrior,Scholar,85.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,曾頭市副教頭，精通陣法兵略，與史文恭共同統理曾頭市防務與萬人莊兵。
ZengNong,ZengNong,曾弄,曾長官,138,FACTION_Zengtou,60,50,50,75,80,Merchant,Farmer,90.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,曾頭市莊主，大金女真族人，稱霸凌州，蓄兵數萬，建五虎寨與梁山泊公然抗衡。
ZengTu,ZengTu,曾塗,曾頭市大郎,139,FACTION_Zengtou,85,88,86,65,85,Warrior,None,90.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,曾家五虎之長，武藝為五虎之冠，善使點鋼槍，曾於陣前三十合壓制小溫侯呂方與賽仁貴郭盛聯手。
ZengMi,ZengMi,曾密,曾頭市二郎,140,FACTION_Zengtou,82,85,78,60,80,Warrior,None,88.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,曾家五虎次子，使一口大刀，守衛曾頭市西寨。
ZengSuo,ZengSuo,曾索,曾頭市三郎,141,FACTION_Zengtou,80,84,80,60,80,Warrior,None,88.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,曾家五虎三子，守衛曾頭市南寨。
ZengKui,ZengKui,曾魁,曾頭市四郎,142,FACTION_Zengtou,80,82,82,65,82,Warrior,None,88.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,曾家五虎四子，使一條點鋼槍，曾與豹子頭林沖副將交手。
ZengSheng,ZengSheng,曾昇,曾頭市五郎,143,FACTION_Zengtou,80,82,90,70,85,Warrior,Hunter,90.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,曾家幼子，年少勇悍，使兩口飛刀，神出鬼沒，曾箭射李逵奪回照夜玉獅子馬。
LuanTingyu,LuanTingyu,欒廷玉,鐵棒無敵,144,FACTION_ZhuManor,90,94,88,75,88,Warrior,Hunter,88.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,獨龍岡祝家莊教頭，病尉遲孫立之同門師兄。使一條沉鐵棍，有萬夫不當之勇，曾設伏生擒摩雲金翅歐鵬與火眼狻猊鄧飛。
ZhuChaofeng,ZhuChaofeng,祝朝奉,祝家莊莊主,145,FACTION_ZhuManor,62,45,48,72,80,Farmer,Merchant,90.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,獨龍岡祝家莊大莊主，築堅固盤陀路石寨，與扈家莊、李家莊立誓結盟，誓要踏平梁山泊。
ZhuLong,ZhuLong,祝龍,祝氏大郎,146,FACTION_ZhuManor,84,86,80,60,80,Warrior,None,88.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,祝氏三傑之首，善使長槍，武藝剛猛，曾與霹靂火秦明鏖戰三十餘合不落下風。
ZhuHu,ZhuHu,祝虎,祝氏二郎,147,FACTION_ZhuManor,82,84,80,60,80,Warrior,None,88.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,祝氏三傑次子，勇力過人，於祝家莊外力戰穆弘、李逵諸將。
ZhuBiao,ZhuBiao,祝彪,祝氏三郎,148,FACTION_ZhuManor,82,85,88,64,85,Hunter,Warrior,90.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,祝朝奉三子，扈三娘未婚夫，弓馬嫻熟，使一口點鋼槍，性格極其桀驁狂妄。
HuTaigong,HuTaigong,扈太公,扈家莊莊主,149,FACTION_ZhuManor,58,40,42,68,75,Farmer,Merchant,85.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,獨龍岡扈家莊老莊主，扈成與扈三娘之父。
HuCheng,HuCheng,扈成,飛天虎,150,FACTION_ZhuManor,78,80,82,68,75,Warrior,Merchant,75.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,獨龍岡扈家莊少莊主，扈三娘之兄。祝家莊破後隻身投奔延安府，後渡江投南宋抗金為將。
ChaoGai,ChaoGai,晁蓋,托塔天王,151,FACTION_ChaoGai,92,95,80,72,98,Warrior,Farmer,100.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,鄆城東溪村保正，武藝超群，勇奪青石塔震懾西溪村鬼怪。七星聚義智取生辰綱，上梁山推翻王倫成為二代寨主，攻曾頭市中箭捐軀。
WangLun,WangLun,王倫,白衣秀士,152,FACTION_Neutral,55,45,50,70,50,Scholar,Merchant,50.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,梁山泊開山寨主，落第秀才出身。心胸狹隘，妒賢嫉能，屢次排擠前來投奔的林沖與晁蓋等人，終被林沖火併處決。
LuoZhenren,LuoZhenren,羅真人,二仙山仙長,153,FACTION_Hermit,90,40,80,100,100,Taoist,Doctor,100.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,薊州二仙山紫虛觀得道神仙，公孫勝之師。通曉天機，精通五雷天罡正法，曾授公孫勝神行破法天書破高唐州法術。
ZhiZhen,ZhiZhen,智真長老,五台山方丈,154,FACTION_Hermit,85,50,60,98,100,Taoist,Scholar,100.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,五台山文殊院住持大和尚，得道高僧。早知魯智深乃上界星宿下凡，賜其名智深與四句偈言，指引其一生歸宿。
LiShishi,LiShishi,李師師,東京第一名伎,155,FACTION_Neutral,60,30,88,88,85,Entertainer,Scholar,80.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,汴京名動天下之絕代才女與藝伎，宋徽宗與燕青皆為其座上賓。色藝雙絕，深明大義，為梁山泊招安搭起通天之橋梁。
XiMenQing,XiMenQing,西門慶,陽谷生藥鋪東家,156,FACTION_Neutral,72,75,78,76,65,Merchant,Entertainer,60.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,清河縣破落戶，陽谷縣開生藥鋪暴發戶。為人奸詐好色，擅使拳棒，勾結潘金蓮毒殺武大郎，終在獅子樓被武松斬殺。
PanJinlian,PanJinlian,潘金蓮,三寸金蓮,157,FACTION_Neutral,58,35,82,70,60,Entertainer,Artisan,50.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,武大郎之妻，姿色過人。因不甘貧寒受王婆唆使偷情西門慶，並鳩殺親夫，最終伏誅於武松之手。
JiangMenshen,JiangMenshen,蔣門神,快活林霸王,158,FACTION_Neutral,88,92,70,45,75,Warrior,Merchant,65.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,本名蔣忠，生得九尺長軀，臂力千斤。倚仗張都監勢力強佔孟州快活林酒肉莊，被醉打快活林的武松以玉環步鴛鴦腳重創擊敗。
YanPoxi,YanPoxi,閻婆惜,閻惜嬌,159,FACTION_Neutral,55,30,80,68,55,Entertainer,None,50.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,東京歌女，宋江之妾。因與張文遠通姦並以晁蓋書信要挾宋江，終在鄆城烏龍院被宋江怒殺。
ZhengTu,ZhengTu,鄭屠,鎮關西,160,FACTION_Neutral,78,82,60,40,65,Merchant,Warrior,60.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,渭州肉鋪屠戶，強佔金翠蓮為妾。魯智深為伸張正義三拳將其打死，開展花和尚傳奇生涯。
NiuEr,NiuEr,牛二,沒毛大蟲,161,FACTION_Neutral,65,60,50,30,45,None,None,40.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,東京大潑皮無賴，於天漢州橋糾纏逼迫楊志寶刀殺人，終被青面獸楊志手刃。
TianHu,TianHu,田虎,晉王,162,FACTION_TianHu,82,85,75,68,85,Warrior,Merchant,90.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,四大寇之一，威勝州獵戶出身，力大勇猛。趁水旱民變聚眾割據河北五州五十六縣，自立為晉王，建宮殿設官分職。
QiaoDaoqing,QiaoDaoqing,喬道清,幻魔君,163,FACTION_TianHu,78,65,80,96,90,Taoist,Scholar,85.0,Sorcery,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,田虎國師兼護國靈感真人，精通三昧神水幻術，呼風喚雨、驅沙走石。曾連挫梁山數十名將，後歸順梁山並拜羅真人為師。
QiongYing,QiongYing,瓊英,瓊矢鏃,164,FACTION_TianHu,82,84,96,78,90,Hunter,Warrior,80.0,HiddenMissile,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,田虎郡主兼女將軍，仇申之女。於夢中得神人傳授飛石神技，百發百中。後與張清結為連理，做內應手刃鄔梨、生擒田虎為父母報仇。
SunAn,SunAn,孫安,殿前元帥,165,FACTION_TianHu,92,95,88,78,90,Warrior,None,85.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,田虎麾下頭號大將，身長九尺，手使兩口鑌鐵重劍，劍法神化。與大刀關勝大戰百餘合不分勝負，投降梁山後為征王慶立下不世奇功。
BianXiang,BianXiang,卞祥,右丞相兼太尉,166,FACTION_TianHu,92,96,85,75,90,Warrior,Scholar,88.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,田虎右丞相，河北名將，使一柄開山大斧。曾以一敵二獨鬥九紋龍史進與花項虎龔旺，三十餘合斬殺淮西名將酆泰。
ShanShiqi,ShanShiqi,山士奇,樞密使,167,FACTION_TianHu,88,92,84,68,85,Warrior,None,82.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,田虎手下虎將，沁源人氏，使一條四十斤重渾鐵棍。曾於陣前與豹子頭林沖大戰五十餘合不分勝敗。
MaLing,MaLing,馬靈,神捷將軍,168,FACTION_TianHu,80,75,95,88,85,Taoist,Hunter,80.0,DivineSpeed,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,涿州道士，號「聖水將軍」，額生第三隻神目。足踏風火輪日行千里，善使金磚神法，後被戴宗公孫勝破法生擒。
WuLi,WuLi,鄔梨,國舅威勝大將,169,FACTION_TianHu,86,88,78,65,80,Warrior,Farmer,90.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,田虎國舅，瓊英義父。身材魁梧，使一口潑風大刀，鎮守威勝要塞，後中瓊英與張清毒計身亡。
WangQing,WangQing,王慶,楚王,170,FACTION_WangQing,80,82,78,72,82,Warrior,Merchant,90.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,四大寇之一，東京副排軍出身，因與童貫義女私通獲罪發配。後聚眾起義割據淮南八州八十六縣，自稱楚王。
DuanSanniang,DuanSanniang,段三娘,淮西大娘,171,FACTION_WangQing,85,88,80,58,85,Warrior,Farmer,95.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,王慶之妻，淮西皇后。生得身材高大，面如夜叉，武藝過人，手使兩口短刀，性格剽悍暴烈。
DuXue,DuXue,杜壆,淮西大都督,172,FACTION_WangQing,96,99,94,80,95,Warrior,None,90.0,IronWall,Item_SnakeSpear,100,/Game/UI/Portraits/Portrait_LinChong.jpg,淮西軍第一猛將，使一條丈八蛇矛，神勇冠絕水滸。曾於陣前與玉麒麟盧俊義大戰五十餘合佔據上風，迫使孫安策馬夾攻方能破之。
LiZhu,LiZhu,李助,金劍先生,173,FACTION_WangQing,82,80,98,95,90,Taoist,Scholar,90.0,None,Item_GoldSword,100,/Game/UI/Portraits/Portrait_LinChong.jpg,王慶軍師兼丞相，得異人傳授神劍之術。使一柄金劍如電光飛舞，劍法通神，連盧俊義遇之亦難招架，終由公孫勝作五雷法所破。
YuanLang,YuanLang,袁朗,赤面虎,174,FACTION_WangQing,90,94,86,70,90,Warrior,None,85.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,淮西猛將，手使一對各重五十斤的水磨鋼撾。曾與豹子頭林沖及霹靂火秦明鏖戰百餘合不分高下。
MiSheng,MiSheng,縻胜,開山大將,175,FACTION_WangQing,90,95,82,55,88,Warrior,None,85.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,王慶帳下先鋒驍將，使一柄開山大斧，驍勇異常，曾陣斬梁山水軍猛將文仲容與崔埜。
TengKui,TengKui,滕戣,紀山雙雄兄,176,FACTION_WangQing,85,88,82,62,80,Warrior,None,85.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,紀山軍統制，使一柄重三尖兩刃刀，作戰勇冠三軍。
TengKan,TengKan,滕戡,紀山雙雄弟,177,FACTION_WangQing,86,90,84,62,82,Warrior,None,85.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,滕戣之弟，使一條虎頭竹節鋼鞭，曾與呼延灼於陣前對鞭五十餘合，棋逢敵手。
FangLa,FangLa,方臘,聖公,178,FACTION_FangLa,88,90,80,85,95,Warrior,Scholar,100.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,睦州歙縣漆園主，利用摩尼教起義，割據江南八州五十二縣，建國號「永樂」，自立為聖公，讓宋廷與梁山付出極慘烈代價。
FangTianding,FangTianding,方天定,南國太子,179,FACTION_FangLa,80,80,78,82,90,Scholar,Warrior,95.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,方臘之子，封南國太子，坐鎮杭州重鎮。麾下有南離大將軍石寶等四大元帥與二十四將，重創梁山征南大軍。
DengYuanjue,DengYuanjue,鄧元覺,寶光如來,180,FACTION_FangLa,96,98,82,72,95,Warrior,Taoist,95.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,方臘國師，法號寶光如來，使一條五十斤重渾鐵禪杖。曾於杭州城下與花和尚魯智深大戰五十餘合不分勝負，神力驚世。
ShiBao,ShiBao,石寶,南離大將軍,181,FACTION_FangLa,94,96,95,88,95,Warrior,Hunter,95.0,IronWall,Item_WindBlade,100,/Game/UI/Portraits/Portrait_LinChong.jpg,方臘麾下第一戰將，使一口劈風刀與流星錘。智勇兼備，在烏龍嶺與杭州連斬急先鋒索超、鄧飛、燕順、鮑旭、馬麟梁山五虎八驃大將。
LiTianrun,LiTianrun,厲天閏,鎮國大將軍,182,FACTION_FangLa,90,92,90,80,90,Warrior,None,90.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,鎮守獨松關大將，武藝絕倫。曾陣斬小霸王周通、沒羽箭張清，重創雙槍將董平，後與盧俊義大戰三十合力竭陣亡。
SiXingfang,SiXingfang,司行方,護國大將軍,183,FACTION_FangLa,88,93,85,75,90,Warrior,None,90.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,德清守將，方臘四大元帥之一。武勇過人，於宣州三十合斬殺梁山水泊步兵統領插翅虎雷橫。
PangWanchun,PangWanchun,龐萬春,小養由基,184,FACTION_FangLa,82,80,99,82,90,Hunter,Warrior,90.0,Deadeye,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,昱嶺關守將，水滸第一神射手。於關前連珠箭射殺九紋龍史進、拚命三郎石秀、陳達、楊春、李忠、薛永六員梁山好漢。
WangYin,WangYin,王寅,兵部尚書,185,FACTION_FangLa,92,94,92,90,92,Warrior,Scholar,95.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,方臘兵部尚書，歙縣名將，文武全才。坐騎「轉山飛」，使一條鋼槍與轉尺撾，連殺李雲、石勇，力抗孫立、黃信等四將毫無懼色。
BaoDaoyi,BaoDaoyi,包道乙,靈應天師,186,FACTION_FangLa,76,65,85,94,90,Taoist,None,90.0,Sorcery,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,金華山妖道，方臘國師。身懷「玄天上帝混元飛劍」，能於百步外取人首級，於烏龍嶺作法飛劍斬斷行者武松左臂。
ZhengBiao,ZhengBiao,鄭彪,鄭魔君,187,FACTION_FangLa,84,86,85,88,88,Taoist,Warrior,90.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,包道乙高徒，婺州都督。精通妖法與槍法，頭頂黑氣現神將，陣斬矮腳虎王英與一丈青扈三娘夫婦。
YeluYanxi,YeluYanxi,耶律延禧,遼天祚帝,188,FACTION_Liao,70,65,70,60,70,Hunter,Entertainer,95.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,大遼帝國末代皇帝，喜好遊獵。因契丹國政日非、金兵南下而面臨內外夾攻，曾調集傾國兵力迎戰宋朝與梁山軍。
WuYanguang,WuYanguang,兀顏光,大遼第一都統軍,189,FACTION_Liao,96,98,95,92,98,Warrior,Scholar,95.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,大遼軍中第一統軍太師，幽州第一勇士。熟讀兵書，精通「太乙混天象陣」，身披三重連環重鎧，手使鐵力槊與方天戟，勇冠三軍。
WuYanYanshou,WuYanYanshou,兀顏延壽,小統軍,190,FACTION_Liao,85,88,88,80,85,Warrior,Scholar,90.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,兀顏光之子，精熟陣法，勇武剛烈，掌管太乙混天象陣左翼，曾於陣前與九紋龍史進激戰。
HeZhongbao,HeZhongbao,賀重寶,薊州副統軍,191,FACTION_Liao,88,88,82,90,88,Taoist,Warrior,90.0,Sorcery,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,薊州守將兼大遼副都統軍，身長八尺，通曉妖法神兵，曾設三關陷阱誘伏梁山軍，逼得關勝等眾將苦戰。
DaLibo,DaLibo,答里孛,瓊妖納延之主·大遼郡主,192,FACTION_Liao,80,78,88,75,85,Warrior,Hunter,90.0,None,Item_TwinBroadswords,100,/Game/UI/Portraits/Portrait_LinChong.jpg,大遼幽王之女，太乙混天象陣太陰星女將。使一口繡鸞刀與梨花槍，統率女真契丹騎兵馳騁沙場。
ALiqi,ALiqi,阿里奇,遼國先鋒大將,193,FACTION_Liao,90,94,88,68,90,Warrior,None,90.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,大遼先鋒名將，身長九尺，梨花開山斧威震邊陲。三十合內打敗金槍手徐寧，後中張清飛石暗器落馬。
QiongYaoNayan,QiongYaoNayan,瓊妖納延,大遼先鋒元帥,194,FACTION_Liao,88,92,90,70,88,Warrior,Hunter,90.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,大遼年輕勇將，使一桿畫桿描金戟，二十合殺敗九紋龍史進，驍勇善戰。
KouZhenyuan,KouZhenyuan,寇鎮遠,大遼左丞相將軍,195,FACTION_Liao,84,86,92,72,85,Hunter,Warrior,88.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,大遼名將，神箭百步穿楊，曾於馬上回身箭射孫新，後被小李廣花榮箭術對決所射殺。
WanyanAguda,WanyanAguda,完顏阿骨打,金太祖,196,FACTION_Jin,96,98,90,92,100,Hunter,Warrior,100.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,金朝開國皇帝，女真族傳奇英雄。統一女真各部，創金國文字與猛安謀克制，以少勝多滅大遼、撼大宋，雄才大略。
WanyanZongbi,WanyanZongbi,完顏宗弼,金兀朮·四太子,197,FACTION_Jin,95,97,88,85,95,Warrior,Hunter,95.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,金太祖第四子，金國都元帥兼越國王。手使開山大斧與提盧槍，創立鐵浮屠與拐子馬精騎橫掃中原，為宋金戰場之頭號勁敵。
WanyanZongwang,WanyanZongwang,完顏宗望,二太子·斡離不,198,FACTION_Jin,90,90,86,92,92,Scholar,Warrior,95.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,金太祖次子，統帥東路金軍南下包圍東京汴梁，善於用兵與謀略，人稱菩薩太子。
WanyanZonghan,WanyanZonghan,完顏宗翰,國相·黏罕,199,FACTION_Jin,92,94,85,94,95,Warrior,Scholar,95.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,金國名將兼國相，率西路軍破太原、陷汴京，俘獲徽欽二帝，為金國定鼎中原第一功臣。
HaMichi,HaMichi,哈迷蚩,金國軍師,200,FACTION_Jin,65,45,60,94,80,Scholar,None,90.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,金兀朮隨軍首席軍師，深通中原地理與兵法，足智多謀，屢次為金國騎兵出謀劃策破城略地。
ShanShituo,ShanShituo,山獅駝,金國第一勇士,201,FACTION_Jin,98,100,82,55,95,Warrior,None,90.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,金國帳下力大無窮之無敵戰將，手使一柄一百二十斤重鎏金鏜，勇力蓋世，萬人難敵。
Temujin,Temujin,鐵木真,成吉思汗,202,FACTION_Mongol,98,96,95,98,100,Hunter,Warrior,100.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,大蒙古國開國可汗，統一北方草原各部，被尊為成吉思汗。建立橫跨歐亞的蒙古帝國，軍事戰術與騎射指揮堪稱古今之巔峰。
Jebe,Jebe,哲別,神箭手·四狗之一,203,FACTION_Mongol,92,92,100,85,95,Hunter,Warrior,95.0,Deadeye,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,蒙古四狗之一，草原傳奇神箭手，箭無虛發。長途奔襲、大迂迴戰術大師，曾率輕騎橫掃中亞、高加索與東歐。
Subutai,Subutai,速不臺,勇將·四狗之一,204,FACTION_Mongol,95,94,92,96,98,Warrior,Hunter,95.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,蒙古四狗之一，一生征戰三十餘國、指揮六十五場會戰未嘗一敗，長距離大兵團協同作戰之天才統帥。
Muqali,Muqali,木華黎,國王·四傑之一,205,FACTION_Mongol,90,92,90,94,95,Scholar,Warrior,98.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,蒙古開國四傑之一，封太師國王，代成吉思汗全權經略中原征金，沉毅多智，深得漢地士民擁戴。
Boorchu,Boorchu,博爾術,阿兒剌拔都·四傑之一,206,FACTION_Mongol,92,90,88,88,95,Hunter,Warrior,100.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,蒙古開國四傑之首，少年時即追隨鐵木真奪回被盜八匹愛馬，終生赤膽忠心，掌管右翼大軍。
Jamukha,Jamukha,札木合,古兒汗,207,FACTION_Mongol,92,94,92,92,90,Warrior,Scholar,80.0,None,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,札達蘭部首領，鐵木真結拜安答，亦為其爭霸草原最強勁敵。十三翼之戰大敗鐵木真，兵法謀略超群，一代草原霸主。
YueFei,YueFei,岳飛,岳武穆,208,FACTION_SongLoyal,98,99,95,95,100,Warrior,Scholar,100.0,IronWall,None,100,/Game/UI/Portraits/Portrait_LinChong.jpg,精忠報國，抗金名將，岳家軍統帥，連破金兀朮鐵浮屠拐子馬，撼山易撼岳家軍難。
